a =  0.0
og= [0 0 0 0] code= [0, 0, 0, 0, 0, 0, 0, 0]
og= [1 0 0 3] code= [0, 1, 0, 0, 0, 0, 1, 1]
og= [2 0 3 2] code= [1, 0, 0, 0, 1, 1, 1, 0]
og= [3 3 2 2] code= [1, 1, 1, 1, 1, 0, 1, 0]
a =  40.0
og= [0 0 0 1] code= [0, 0, 0, 0, 0, 0, 0, 1]
og= [1 0 3 0] code= [0, 1, 0, 0, 1, 1, 0, 0]
og= [2 0 3 3] code= [1, 0, 0, 0, 1, 1, 1, 1]
og= [2 3 2 0] code= [1, 0, 1, 1, 1, 0, 0, 0]
og= [3 3 2 3] code= [1, 1, 1, 1, 1, 0, 1, 1]
a =  80.0
og= [0 0 0 2] code= [0, 0, 0, 0, 0, 0, 1, 0]
og= [1 0 3 1] code= [0, 1, 0, 0, 1, 1, 0, 1]
og= [2 3 2 1] code= [1, 0, 1, 1, 1, 0, 0, 1]
a =  120.0
og= [0 0 0 3] code= [0, 0, 0, 0, 0, 0, 1, 1]
og= [1 0 3 2] code= [0, 1, 0, 0, 1, 1, 1, 0]
og= [2 3 2 2] code= [1, 0, 1, 1, 1, 0, 1, 0]
a =  13.0
og= [0 0 1 0] code= [0, 0, 0, 0, 0, 1, 0, 0]
og= [1 0 1 3] code= [0, 1, 0, 0, 0, 1, 1, 1]
og= [1 3 0 0] code= [0, 1, 1, 1, 0, 0, 0, 0]
og= [2 3 0 3] code= [1, 0, 1, 1, 0, 0, 1, 1]
og= [3 3 3 2] code= [1, 1, 1, 1, 1, 1, 1, 0]
a =  53.0
og= [0 0 1 1] code= [0, 0, 0, 0, 0, 1, 0, 1]
og= [1 3 0 1] code= [0, 1, 1, 1, 0, 0, 0, 1]
og= [2 3 3 0] code= [1, 0, 1, 1, 1, 1, 0, 0]
og= [3 3 3 3] code= [1, 1, 1, 1, 1, 1, 1, 1]
a =  93.0
og= [0 0 1 2] code= [0, 0, 0, 0, 0, 1, 1, 0]
og= [1 3 0 2] code= [0, 1, 1, 1, 0, 0, 1, 0]
og= [2 3 3 1] code= [1, 0, 1, 1, 1, 1, 0, 1]
a =  12.0
og= [0 0 1 3] code= [0, 0, 0, 0, 0, 1, 1, 1]
og= [0 3 0 0] code= [0, 0, 1, 1, 0, 0, 0, 0]
og= [1 3 0 3] code= [0, 1, 1, 1, 0, 0, 1, 1]
og= [2 3 3 2] code= [1, 0, 1, 1, 1, 1, 1, 0]
a =  26.0
og= [0 0 2 0] code= [0, 0, 0, 0, 1, 0, 0, 0]
og= [1 0 2 3] code= [0, 1, 0, 0, 1, 0, 1, 1]
og= [1 3 1 0] code= [0, 1, 1, 1, 0, 1, 0, 0]
og= [2 3 1 3] code= [1, 0, 1, 1, 0, 1, 1, 1]
a =  66.0
og= [0 0 2 1] code= [0, 0, 0, 0, 1, 0, 0, 1]
